Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,30-01-2003,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0495,002,52DP0495,192798,378240,3215,18-06-2001,18-06-2001,05-04-2018,3249,34,2915,2905


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0495,002,30-01-2003,38,4,3211,,,,,,
B52D0495,002,12-02-2003,42,8,3207,,,,,,
B52D0495,002,21-02-2003,46,12,3203,,,,,,
B52D0495,002,27-02-2003,47,13,3202,,,,,,
B52D0495,002,14-03-2003,44,10,3205,,,,,,
B52D0495,002,28-03-2003,50,16,3199,,,,,,
B52D0495,002,16-04-2003,53,19,3196,,,,,,
B52D0495,002,28-04-2003,55,21,3194,,,,,,
B52D0495,002,14-05-2003,53,19,3196,,,,,,
B52D0495,002,28-05-2003,51,17,3198,,,,,,
B52D0495,002,16-06-2003,54,20,3195,,,,,,
B52D0495,002,30-06-2003,63,29,3186,,,,,,
B52D0495,002,15-07-2003,68,34,3181,,,,,,
B52D0495,002,28-07-2003,80,46,3169,,,,,,
B52D0495,002,14-08-2003,109,75,3140,,,,,,
B52D0495,002,28-08-2003,90,56,3159,,,,,,
B52D0495,002,15-09-2003,113,79,3136,,,,,,
B52D0495,002,30-09-2003,113,79,3136,,,,,,
B52D0495,002,14-10-2003,95,61,3154,,,,,,
B52D0495,002,17-11-2003,88,54,3161,,,,,,
B52D0495,002,01-12-2003,86,52,3163,,,,,,
B52D0495,002,15-12-2003,75,41,3174,,,,,,
B52D0495,002,14-01-2004,68,34,3181,,,,,,
B52D0495,002,28-01-2004,57,23,3192,,,,,,
B52D0495,002,16-02-2004,52,18,3197,,,,,,
B52D0495,002,02-03-2004,52,18,3197,,,,,,
B52D0495,002,16-03-2004,52,18,3197,,,,,,
B52D0495,002,30-03-2004,55,21,3194,,,,,,
B52D0495,002,15-04-2004,52,18,3197,,,,,,
B52D0495,002,28-04-2004,55,21,3194,,,,,,
B52D0495,002,18-05-2004,58,24,3191,,,,,,
B52D0495,002,02-06-2004,60,26,3189,,,,,,
B52D0495,002,14-06-2004,64,30,3185,,,,,,
B52D0495,002,29-06-2004,68,34,3181,,,,,,
B52D0495,002,12-07-2004,92,58,3157,,STAND HANDHAVEN,,,,
B52D0495,002,28-07-2004,58,24,3191,,,,,,
B52D0495,002,17-08-2004,62,28,3187,,,,,,
B52D0495,002,31-08-2004,56,22,3193,,,,,,
B52D0495,002,27-09-2004,70,36,3179,,,,,,
B52D0495,002,19-10-2004,60,26,3189,,,,,,
B52D0495,002,01-11-2004,60,26,3189,,,,,,
B52D0495,002,17-11-2004,58,24,3191,,,,,,
B52D0495,002,14-12-2004,52,18,3197,,,,,,
B52D0495,002,07-01-2005,50,16,3199,,,,,,
B52D0495,002,19-01-2005,60,26,3189,,,,,,
B52D0495,002,31-01-2005,50,16,3199,,,,,,
B52D0495,002,15-02-2005,43,9,3206,,,,,,
B52D0495,002,01-03-2005,45,11,3204,,,,,,
B52D0495,002,15-03-2005,50,16,3199,,,,,,
B52D0495,002,30-03-2005,52,18,3197,,,,,,
B52D0495,002,15-04-2005,57,23,3192,,,,,,
B52D0495,002,28-04-2005,50,16,3199,,,,,,
B52D0495,002,13-05-2005,51,17,3198,,,,,,
B52D0495,002,27-05-2005,58,24,3191,,,,,,
B52D0495,002,15-06-2005,60,26,3189,,,,,,
B52D0495,002,28-06-2005,70,36,3179,,,,,,
B52D0495,002,13-07-2005,70,36,3179,,,,,,
B52D0495,002,29-07-2005,80,46,3169,,,,,,
B52D0495,002,16-08-2005,80,46,3169,,,,,,
B52D0495,002,26-08-2005,85,51,3164,,,,,,
B52D0495,002,15-09-2005,106,72,3143,,,,,,
B52D0495,002,03-10-2005,110,76,3139,,,,,,
B52D0495,002,14-10-2005,112,78,3137,,,,,,
B52D0495,002,28-10-2005,94,60,3155,,,,,,
B52D0495,002,15-11-2005,94,60,3155,,,,,,
B52D0495,002,30-11-2005,76,42,3173,,,,,,
B52D0495,002,12-12-2005,80,46,3169,,,,,,
B52D0495,002,13-01-2006,72,38,3177,,,,,,
B52D0495,002,30-01-2006,73,39,3176,,,,,,
B52D0495,002,14-02-2006,70,36,3179,,,,,,
B52D0495,002,02-03-2006,60,26,3189,,,,,,
B52D0495,002,14-03-2006,54,20,3195,,,,,,
B52D0495,002,28-03-2006,54,20,3195,,,,,,
B52D0495,002,18-04-2006,52,18,3197,,,,,,
B52D0495,002,02-05-2006,55,21,3194,,,,,,
B52D0495,002,16-05-2006,64,30,3185,,,,,,
B52D0495,002,30-05-2006,53,19,3196,,,,,,
B52D0495,002,14-06-2006,62,28,3187,,,,,,
B52D0495,002,29-06-2006,66,32,3183,,,,,,
B52D0495,002,17-07-2006,80,46,3169,,,,,,
B52D0495,002,27-07-2006,103,69,3146,,,,,,
B52D0495,002,15-08-2006,107,73,3142,,,,,,
B52D0495,002,28-08-2006,79,45,3170,,,,,,
B52D0495,002,15-09-2006,100,66,3149,,,,,,
B52D0495,002,28-09-2006,112,78,3137,,,,,,
B52D0495,002,16-10-2006,91,57,3158,,,,,,
B52D0495,002,30-10-2006,90,56,3159,,,,,,
B52D0495,002,15-11-2006,80,46,3169,,,,,,
B52D0495,002,28-11-2006,74,40,3175,,,,,,
B52D0495,002,14-12-2006,68,34,3181,,,,,,
B52D0495,002,03-01-2007,67,33,3182,,,,,,
B52D0495,002,15-01-2007,60,26,3189,,,,,,
B52D0495,002,29-01-2007,52,18,3197,,,,,,
B52D0495,002,15-02-2007,47,13,3202,,,,,,
B52D0495,002,01-03-2007,44,10,3205,,,,,,
B52D0495,002,16-03-2007,43,9,3206,,,,,,
B52D0495,002,28-03-2007,45,11,3204,,,,,,
B52D0495,002,17-04-2007,53,19,3196,,,,,,
B52D0495,002,28-04-2007,62,28,3187,,,,,,
B52D0495,002,15-05-2007,57,23,3192,,,,,,
B52D0495,002,29-05-2007,56,22,3193,,,,,,
B52D0495,002,13-06-2007,60,26,3189,,,,,,
B52D0495,002,28-06-2007,62,28,3187,,,,,,
B52D0495,002,17-07-2007,60,26,3189,,,,,,
B52D0495,002,30-07-2007,50,16,3199,,,,,,
B52D0495,002,13-08-2007,54,20,3195,,,,,,
B52D0495,002,29-08-2007,53,19,3196,,,,,,
B52D0495,002,14-09-2007,57,23,3192,,,,,,
B52D0495,002,27-09-2007,60,26,3189,,,,,,
B52D0495,002,18-10-2007,59,25,3190,,,,,,
B52D0495,002,29-10-2007,60,26,3189,,,,,,
B52D0495,002,13-11-2007,53,19,3196,,,,,,
B52D0495,002,28-11-2007,50,16,3199,,,,,,
B52D0495,002,17-12-2007,47,13,3202,,,,,,
B52D0495,002,03-01-2008,49,15,3200,,,,,,
B52D0495,002,16-01-2008,46,12,3203,,,,,,
B52D0495,002,29-01-2008,42,8,3207,,,,,,
B52D0495,002,14-02-2008,42,8,3207,,,,,,
B52D0495,002,28-02-2008,46,12,3203,,,,,,
B52D0495,002,14-03-2008,43,9,3206,,,,,,
B52D0495,002,28-03-2008,42,8,3207,,,,,,
B52D0495,002,14-04-2008,43,9,3206,,,,,,
B52D0495,002,29-04-2008,42,8,3207,,,,,,
B52D0495,002,15-05-2008,48,14,3201,,,,,,
B52D0495,002,28-05-2008,49,15,3200,,,,,,
B52D0495,002,16-06-2008,51,17,3198,,,,,,
B52D0495,002,27-06-2008,59,25,3190,,,,,,
B52D0495,002,14-07-2008,58,24,3191,,,,,,
B52D0495,002,28-07-2008,60,26,3189,,,,,,
B52D0495,002,14-08-2008,57,23,3192,,,,,,
B52D0495,002,28-08-2008,61,27,3188,,,,,,
B52D0495,002,12-09-2008,68,34,3181,,,,,,
B52D0495,002,29-09-2008,70,36,3179,,,,,,
B52D0495,002,14-10-2008,69,35,3180,,,,,,
B52D0495,002,28-10-2008,66,32,3183,,,,,,
B52D0495,002,14-11-2008,65,31,3184,,,,,,
B52D0495,002,27-11-2008,63,29,3186,,,,,,
B52D0495,002,15-12-2008,61,27,3188,,,,,,
B52D0495,002,14-01-2009,58,24,3191,,,,,,
B52D0495,002,29-01-2009,56,22,3193,,,,,,
B52D0495,002,03-02-2009,49,15,3200,,,,,,
B52D0495,002,13-02-2009,50,16,3199,,,,,,
B52D0495,002,13-03-2009,46,12,3203,,,,,,
B52D0495,002,27-03-2009,45,11,3204,,,,,,
B52D0495,002,14-04-2009,46,12,3203,,,,,,
B52D0495,002,29-04-2009,47,13,3202,,,,,,
B52D0495,002,13-05-2009,50,16,3199,,,,,,
B52D0495,002,27-05-2009,56,22,3193,,,,,,
B52D0495,002,15-06-2009,58,24,3191,,,,,,
B52D0495,002,30-06-2009,64,30,3185,,,,,,
B52D0495,002,14-07-2009,68,34,3181,,,,,,
B52D0495,002,24-07-2009,67,33,3182,,,,,,
B52D0495,002,13-08-2009,76,42,3173,,,,,,
B52D0495,002,28-08-2009,86,52,3163,,,,,,
B52D0495,002,15-09-2009,97,63,3152,,,,,,
B52D0495,002,28-09-2009,114,80,3135,,,,,,
B52D0495,002,14-10-2009,64,30,3185,,,,,,
B52D0495,002,28-10-2009,63,29,3186,,,,,,
B52D0495,002,12-11-2009,71,37,3178,,,,,,
B52D0495,002,26-11-2009,65,31,3184,,,,,,
B52D0495,002,14-01-2010,50,16,3199,,,,,,
B52D0495,002,27-01-2010,49,15,3200,,,,,,
B52D0495,002,11-02-2010,46,12,3203,,,,,,
B52D0495,002,02-03-2010,45,11,3204,,,,,,
B52D0495,002,16-03-2010,46,12,3203,,,,,,
B52D0495,002,29-03-2010,43,9,3206,,,,,,
B52D0495,002,14-04-2010,34,0,3215,,,,,,
B52D0495,002,27-04-2010,48,14,3201,,,,,,
B52D0495,002,17-05-2010,47,13,3202,,,,,,
B52D0495,002,27-05-2010,50,16,3199,,,,,,
B52D0495,002,15-06-2010,55,21,3194,,,,,,
B52D0495,002,13-07-2010,74,40,3175,,,,,,
B52D0495,002,27-07-2010,80,46,3169,,,,,,
B52D0495,002,13-08-2010,80,46,3169,,,,,,
B52D0495,002,27-08-2010,67,33,3182,,,,,,
B52D0495,002,15-09-2010,60,26,3189,,,,,,
B52D0495,002,28-09-2010,60,26,3189,,,,,,
B52D0495,002,13-10-2010,59,25,3190,,,,,,
B52D0495,002,28-10-2010,58,24,3191,,,,,,
B52D0495,002,17-11-2010,42,8,3207,,,,,,
B52D0495,002,29-11-2010,42,8,3207,,,,,,
B52D0495,002,14-12-2010,41,7,3208,,,,,,
B52D0495,002,28-01-2011,40,6,3209,,,,,,
B52D0495,002,14-02-2011,42,8,3207,,,,,,
B52D0495,002,28-02-2011,42,8,3207,,,,,,
B52D0495,002,14-03-2011,44,10,3205,,,,,,
B52D0495,002,28-03-2011,44,10,3205,,,,,,
B52D0495,002,15-04-2011,47,13,3202,,,,,,
B52D0495,002,28-04-2011,50,16,3199,,,,,,
B52D0495,002,13-05-2011,56,22,3193,,,,,,
B52D0495,002,27-05-2011,64,30,3185,,,,,,
B52D0495,002,14-06-2011,68,34,3181,,,,,,
B52D0495,002,28-06-2011,70,36,3179,,,,,,
B52D0495,002,14-07-2011,78,44,3171,,,,,,
B52D0495,002,28-07-2011,70,36,3179,,,,,,
B52D0495,002,15-08-2011,65,31,3184,,,,,,
B52D0495,002,29-08-2011,60,26,3189,,,,,,
B52D0495,002,14-09-2011,163,129,3086,,,,,,
B52D0495,002,28-09-2011,66,32,3183,,,,,,
B52D0495,002,14-10-2011,62,28,3187,,,,,,
B52D0495,002,28-10-2011,62,28,3187,,,,,,
B52D0495,002,14-11-2011,65,31,3184,,,,,,
B52D0495,002,28-11-2011,65,31,3184,,,,,,
B52D0495,002,14-12-2011,62,28,3187,,,,,,
B52D0495,002,13-01-2012,40,6,3209,,,,,,
B52D0495,002,13-09-2012,145,111,3104,,,,,,
B52D0495,002,27-09-2012,148,114,3101,,,,,,
B52D0495,002,26-10-2012,128,94,3121,,,,,,
B52D0495,002,14-11-2012,125,91,3124,,,,,,
B52D0495,002,28-11-2012,125,91,3124,,,,,,
B52D0495,002,14-12-2012,108,74,3141,,,,,,
B52D0495,002,15-01-2013,88,54,3161,,,,,,
B52D0495,002,04-02-2013,83,49,3166,,,,,,
B52D0495,002,15-02-2013,85,51,3164,,,,,,
B52D0495,002,28-02-2013,92,58,3157,,,,,,
B52D0495,002,14-03-2013,93,59,3156,,,,,,
B52D0495,002,28-03-2013,95,61,3154,,,,,,
B52D0495,002,15-04-2013,103,69,3146,,,,,,
B52D0495,002,26-04-2013,105,71,3144,,,,,,
B52D0495,002,15-05-2013,115,81,3134,,,,,,
B52D0495,002,28-05-2013,110,76,3139,,,,,,
B52D0495,002,14-06-2013,122,88,3127,,,,,,
B52D0495,002,26-06-2013,132,98,3117,,,,,,
B52D0495,002,15-07-2013,,,,N,,,,,
B52D0495,002,30-07-2013,152,118,3097,,,,,,
B52D0495,002,15-08-2013,162,128,3087,,,,,,
B52D0495,002,30-08-2013,165,131,3084,,,,,,
B52D0495,002,16-09-2013,149,115,3100,,,,,,
B52D0495,002,30-09-2013,146,112,3103,,,,,,
B52D0495,002,15-10-2013,143,109,3106,,,,,,
B52D0495,002,31-10-2013,133,99,3116,,,,,,
B52D0495,002,14-11-2013,108,74,3141,,,,,,
B52D0495,002,29-11-2013,110,76,3139,,,,,,
B52D0495,002,16-12-2013,110,76,3139,,,,,,
B52D0495,002,31-12-2013,90,56,3159,,,,,,
B52D0495,002,28-01-2014,91,57,3158,,,,,,
B52D0495,002,25-02-2014,92,58,3157,,,,,,
B52D0495,002,26-03-2014,107,73,3142,,,,,,
B52D0495,002,30-04-2014,126,92,3123,,,,,,
B52D0495,002,26-05-2014,115,81,3134,,,,,,
B52D0495,002,30-06-2014,131,97,3118,,,,,,
B52D0495,002,02-07-2014,,,,N,,,,,
B52D0495,002,29-07-2014,104,70,3145,,,,,,
B52D0495,002,10-08-2014,,,,N,,,,,
B52D0495,002,27-08-2014,109,75,3140,,,,,,
B52D0495,002,30-09-2014,122,88,3127,,,,,,
B52D0495,002,31-10-2014,101,67,3148,,,,,,
B52D0495,002,28-11-2014,102,68,3147,,,,,,
B52D0495,002,05-01-2015,,,,N,,,,,
B52D0495,002,30-01-2015,,,,N,,,,,
B52D0495,002,24-02-2015,,,,N,,,,,
B52D0495,002,25-03-2015,,,,N,,,,,
B52D0495,002,28-04-2015,,,,N,,,,,
B52D0495,002,27-05-2015,,,,N,,,,,
B52D0495,002,26-08-2015,146,112,3103,,,,,,
B52D0495,002,02-11-2015,121,87,3128,,,,,,
B52D0495,002,15-01-2016,88,54,3161,,,,,,
B52D0495,002,29-01-2016,90,56,3159,,,,,,
B52D0495,002,15-02-2016,80,46,3169,,,,,,
B52D0495,002,29-02-2016,82,48,3167,,,,,,
B52D0495,002,15-03-2016,86,52,3163,,,,,,
B52D0495,002,29-03-2016,93,59,3156,,,,,,
B52D0495,002,15-04-2016,98,64,3151,,,,,,
B52D0495,002,28-04-2016,103,69,3146,,,,,,
B52D0495,002,16-05-2016,115,81,3134,,,,,,
B52D0495,002,20-05-2016,117,83,3132,,,,,,
B52D0495,002,21-05-2016,117,83,3132,,,,,,
B52D0495,002,22-05-2016,118,84,3131,,,,,,
B52D0495,002,23-05-2016,121,87,3128,,,,,,
B52D0495,002,24-05-2016,120,86,3129,,,,,,
B52D0495,002,25-05-2016,119,85,3130,,,,,,
B52D0495,002,26-05-2016,119,85,3130,,,,,,
B52D0495,002,27-05-2016,119,85,3130,,,,,,
B52D0495,002,28-05-2016,119,85,3130,,,,,,
B52D0495,002,29-05-2016,120,86,3129,,,,,,
B52D0495,002,30-05-2016,121,87,3128,,,,,,
B52D0495,002,31-05-2016,116,82,3133,,,,,,
B52D0495,002,01-06-2016,112,78,3137,,,,,,
B52D0495,002,02-06-2016,101,67,3148,,,,,,
B52D0495,002,03-06-2016,90,56,3159,,,,,,
B52D0495,002,04-06-2016,88,54,3161,,,,,,
B52D0495,002,05-06-2016,87,53,3162,,,,,,
B52D0495,002,06-06-2016,87,53,3162,,,,,,
B52D0495,002,07-06-2016,88,54,3161,,,,,,
B52D0495,002,08-06-2016,89,55,3160,,,,,,
B52D0495,002,09-06-2016,89,55,3160,,,,,,
B52D0495,002,10-06-2016,88,54,3161,,,,,,
B52D0495,002,11-06-2016,89,55,3160,,,,,,
B52D0495,002,12-06-2016,90,56,3159,,,,,,
B52D0495,002,13-06-2016,90,56,3159,,,,,,
B52D0495,002,14-06-2016,88,54,3161,,,,,,
B52D0495,002,15-06-2016,86,52,3163,,,,,,
B52D0495,002,16-06-2016,84,50,3165,,,,,,
B52D0495,002,17-06-2016,85,51,3164,,,,,,
B52D0495,002,18-06-2016,84,50,3165,,,,,,
B52D0495,002,19-06-2016,84,50,3165,,,,,,
B52D0495,002,20-06-2016,83,49,3166,,,,,,
B52D0495,002,21-06-2016,84,50,3165,,,,,,
B52D0495,002,22-06-2016,84,50,3165,,,,,,
B52D0495,002,23-06-2016,83,49,3166,,,,,,
B52D0495,002,24-06-2016,82,48,3167,,,,,,
B52D0495,002,25-06-2016,74,40,3175,,,,,,
B52D0495,002,26-06-2016,71,37,3178,,,,,,
B52D0495,002,27-06-2016,71,37,3178,,,,,,
B52D0495,002,28-06-2016,71,37,3178,,,,,,
B52D0495,002,29-06-2016,73,39,3176,,,,,,
B52D0495,002,30-06-2016,74,40,3175,,,,,,
B52D0495,002,01-07-2016,75,41,3174,,,,,,
B52D0495,002,02-07-2016,76,42,3173,,,,,,
